Geography,Median income (dollars); Estimate; Households
New York,62765
ZCTA5 06390,150703
ZCTA5 07421,90412
ZCTA5 10001,85221
ZCTA5 10002,35449
ZCTA5 10003,104441
ZCTA5 10004,140450
ZCTA5 10005,154213
ZCTA5 10006,145893
ZCTA5 10007,242644
ZCTA5 10009,60521
ZCTA5 10010,115084
ZCTA5 10011,123208
ZCTA5 10012,104561
ZCTA5 10013,106056
ZCTA5 10014,127973
ZCTA5 10016,109250
ZCTA5 10017,118469
ZCTA5 10018,107861
ZCTA5 10019,99063
ZCTA5 10020,-
ZCTA5 10021,123842
ZCTA5 10022,133208
ZCTA5 10023,123951
ZCTA5 10024,126107
ZCTA5 10025,82352
ZCTA5 10026,54349
ZCTA5 10027,45536
ZCTA5 10028,119203
ZCTA5 10029,34015
ZCTA5 10030,36118
ZCTA5 10031,44040
ZCTA5 10032,41890
ZCTA5 10033,53044
ZCTA5 10034,50909
ZCTA5 10035,27932
ZCTA5 10036,93707
ZCTA5 10037,39979
ZCTA5 10038,85032
ZCTA5 10039,34197
ZCTA5 10040,47189
ZCTA5 10044,92623
ZCTA5 10065,124322
ZCTA5 10069,137105
ZCTA5 10075,129594
ZCTA5 10103,-
ZCTA5 10110,-
ZCTA5 10111,-
ZCTA5 10112,-
ZCTA5 10115,-
ZCTA5 10119,-
ZCTA5 10128,111937
ZCTA5 10152,-
ZCTA5 10153,-
ZCTA5 10154,-
ZCTA5 10162,182530
ZCTA5 10165,-
ZCTA5 10167,-
ZCTA5 10168,-
ZCTA5 10169,-
ZCTA5 10170,-
ZCTA5 10171,-
ZCTA5 10172,-
ZCTA5 10173,-
ZCTA5 10174,-
ZCTA5 10177,-
ZCTA5 10199,-
ZCTA5 10271,-
ZCTA5 10278,-
ZCTA5 10279,-
ZCTA5 10280,161419
ZCTA5 10282,"250,000+"
ZCTA5 10301,55818
ZCTA5 10302,60968
ZCTA5 10303,59898
ZCTA5 10304,54567
ZCTA5 10305,76044
ZCTA5 10306,80025
ZCTA5 10307,81356
ZCTA5 10308,91953
ZCTA5 10309,100343
ZCTA5 10310,69838
ZCTA5 10311,-
ZCTA5 10312,90797
ZCTA5 10314,80956
ZCTA5 10451,26979
ZCTA5 10452,27206
ZCTA5 10453,24421
ZCTA5 10454,21542
ZCTA5 10455,25489
ZCTA5 10456,26724
ZCTA5 10457,27036
ZCTA5 10458,32129
ZCTA5 10459,25762
ZCTA5 10460,25948
ZCTA5 10461,55847
ZCTA5 10462,49962
ZCTA5 10463,58881
ZCTA5 10464,87853
ZCTA5 10465,74079
ZCTA5 10466,49906
ZCTA5 10467,35381
ZCTA5 10468,35398
ZCTA5 10469,61090
ZCTA5 10470,56658
ZCTA5 10471,80932
ZCTA5 10472,30593
ZCTA5 10473,38924
ZCTA5 10474,25896
ZCTA5 10475,48734
ZCTA5 10501,146250
ZCTA5 10502,159444
ZCTA5 10503,-
ZCTA5 10504,213234
ZCTA5 10505,-
ZCTA5 10506,217607
ZCTA5 10507,56736
ZCTA5 10509,97286
ZCTA5 10510,160944
ZCTA5 10511,107201
ZCTA5 10512,92945
ZCTA5 10514,"250,000+"
ZCTA5 10516,101071
ZCTA5 10517,90125
ZCTA5 10518,193472
ZCTA5 10519,-
ZCTA5 10520,100417
ZCTA5 10522,126988